loan_id,vintage,prop_state,period,bucket,stage,deteriorating,loan_age,cur_upb,credit_score,ltv
****7505,2008,NY,202509,Default,Stage 3,False,209,198614.15,716,75
****5276,2008,IL,202509,Default,Stage 3,False,202,95227.21,633,85
****0440,2007,WI,202509,Default,Stage 3,False,221,78385.42,701,75
****8505,2007,NJ,202509,Default,Stage 3,False,214,45144.33,706,90
****1007,2007,NY,202509,90+,Stage 3,False,34,536582.39,703,80
****2606,2015,CA,202509,90+,Stage 3,False,124,417940.39,723,64
****0795,2015,TX,202509,90+,Stage 3,False,43,403589.33,649,90
****7120,2015,NY,202509,90+,Stage 3,False,119,399166.73,758,80
****4836,2008,MD,202509,90+,Stage 3,False,43,393380.69,687,95
****3583,2015,MD,202509,90+,Stage 3,False,48,379698.46,683,95
****3869,2015,FL,202509,90+,Stage 3,True,57,376058.36,691,90
****7347,2015,NV,202509,90+,Stage 3,False,39,305656.23,671,80
****7157,2007,WA,202509,90+,Stage 3,False,81,299788.63,732,95
****4909,2015,OH,202509,90+,Stage 3,False,122,294639.4,740,80
****9869,2015,CO,202509,90+,Stage 3,False,125,291005.93,704,95
****9633,2015,NY,202509,90+,Stage 3,False,125,288205.81,812,32
****3749,2015,MN,202509,90+,Stage 3,True,65,286395.45,643,90
****1763,2015,CA,202509,90+,Stage 3,False,125,275748.57,707,80
****1191,2015,MD,202509,90+,Stage 3,False,116,273185.54,726,80
****2002,2008,CA,202509,90+,Stage 3,False,203,272312.18,818,89
****4504,2015,MN,202509,90+,Stage 3,False,120,267566.08,710,92
****5111,2008,NY,202509,90+,Stage 3,False,210,264601.59,774,80
****2439,2007,IL,202509,90+,Stage 3,False,154,261566.68,686,80
****0505,2007,MA,202509,90+,Stage 3,False,30,255071.73,702,80
****7029,2008,FL,202509,90+,Stage 3,True,187,254544.37,663,90
****6598,2015,MN,202509,90+,Stage 3,True,118,239092.23,709,90
****2606,2015,AR,202509,90+,Stage 3,True,55,236118.22,731,95
****7170,2015,TX,202509,90+,Stage 3,False,117,231570.08,657,70
****2809,2015,IL,202509,90+,Stage 3,False,11,226806.48,733,77
****8335,2008,NY,202509,90+,Stage 3,False,58,222003.55,640,90
****2400,2015,MD,202509,90+,Stage 3,False,127,220943.8,726,80
****4385,2015,CT,202509,90+,Stage 3,False,118,196656.69,752,95
****8570,2015,FL,202509,90+,Stage 3,False,11,188216.77,701,78
****5345,2015,NM,202509,90+,Stage 3,False,116,185808.02,687,85
****4692,2007,NY,202509,90+,Stage 3,False,78,176298.23,711,89
****1548,2015,NM,202509,90+,Stage 3,False,119,174287.05,725,97
****6349,2015,PA,202509,90+,Stage 3,False,122,173722.42,688,80
****0865,2015,VA,202509,90+,Stage 3,False,39,169807.35,673,50
****1287,2015,UT,202509,90+,Stage 3,True,55,165781.75,696,78
****2477,2015,IL,202509,90+,Stage 3,False,123,152405.69,781,85
****2114,2015,OH,202509,90+,Stage 3,False,75,152306.14,659,95
****3203,2015,GA,202509,90+,Stage 3,False,126,145882.48,804,80
****3538,2015,TX,202509,90+,Stage 3,False,13,143702.28,653,59
****6106,2015,CA,202509,90+,Stage 3,False,117,143249.27,730,80
****6188,2007,TX,202509,90+,Stage 3,True,211,141268.47,646,79
****6159,2015,MI,202509,90+,Stage 3,False,36,134388.02,732,95
****0458,2015,CA,202509,90+,Stage 3,False,120,131563.56,729,63
****6262,2015,SD,202509,90+,Stage 3,False,119,127377.24,686,95
****2803,2007,OR,202509,90+,Stage 3,False,217,122468.95,741,72
****1217,2015,IN,202509,90+,Stage 3,False,62,119306.31,703,80
****1010,2015,NC,202509,90+,Stage 3,False,126,118251.61,695,77
****6405,2015,FL,202509,90+,Stage 3,True,21,118024.27,623,80
****8439,2007,FL,202509,90+,Stage 3,False,215,117314.48,651,51
****0449,2015,CA,202509,90+,Stage 3,False,77,115962.96,756,80
****8341,2015,CT,202509,90+,Stage 3,False,122,115623.48,732,80
****3821,2015,OR,202509,90+,Stage 3,False,120,114849.49,680,73
****2783,2007,LA,202509,90+,Stage 3,False,217,112779.31,716,80
****3310,2015,SC,202509,90+,Stage 3,False,127,103970.22,675,80
****4738,2007,AL,202509,90+,Stage 3,False,106,102722.84,672,87
****4264,2015,SC,202509,90+,Stage 3,False,117,101963.06,655,80
****5936,2007,MO,202509,90+,Stage 3,False,23,101659.31,619,76
****9536,2008,NC,202509,90+,Stage 3,False,202,99385.83,582,50
****4450,2015,CA,202509,90+,Stage 3,False,125,98479.76,738,38
****1259,2007,CO,202509,90+,Stage 3,False,214,93390.94,688,49
****4694,2008,AR,202509,90+,Stage 3,False,202,92767.61,731,90
****1712,2007,MS,202509,90+,Stage 3,True,214,92015.36,628,80
****2831,2015,MN,202509,90+,Stage 3,True,124,88338.71,706,92
****2621,2015,PA,202509,90+,Stage 3,False,124,87846.84,758,75
****8484,2007,FL,202509,90+,Stage 3,False,220,86168.22,706,74
****2554,2008,PA,202509,90+,Stage 3,False,25,84259.26,702,76
****7187,2015,MI,202509,90+,Stage 3,False,126,84255.52,819,63
****2505,2007,FL,202509,90+,Stage 3,False,214,80424.68,812,70
****8484,2015,OH,202509,90+,Stage 3,False,122,79287.14,706,76
****3072,2007,FL,202509,90+,Stage 3,False,216,75689.46,660,80
****3397,2007,PA,202509,90+,Stage 3,False,60,73069.86,608,68
****7721,2007,IL,202509,90+,Stage 3,False,187,72698.08,763,80
****4511,2008,GU,202509,90+,Stage 3,False,201,72648.56,672,77
****6486,2007,CO,202509,90+,Stage 3,False,215,72312.71,730,80
****0888,2015,LA,202509,90+,Stage 3,False,80,72113.4,638,80
****2893,2015,LA,202509,90+,Stage 3,False,23,70688.14,622,65
****8019,2015,TX,202509,90+,Stage 3,True,124,69104.11,750,71
****2196,2015,FL,202509,90+,Stage 3,False,126,68050.81,628,28
****2690,2008,GA,202509,90+,Stage 3,False,49,66011.09,9999,70
****1541,2008,CA,202509,90+,Stage 3,True,206,64351.21,692,33
****3322,2008,MI,202509,90+,Stage 3,True,209,63421.72,632,95
****4859,2015,IL,202509,90+,Stage 3,False,121,62930.39,677,95
****0223,2007,LA,202509,90+,Stage 3,False,218,60422.16,740,80
****3635,2007,MD,202509,90+,Stage 3,False,220,60206.06,653,50
****8400,2015,KY,202509,90+,Stage 3,False,126,59973.87,712,77
****5041,2015,NJ,202509,90+,Stage 3,False,124,53714.86,797,37
****9721,2015,TN,202509,90+,Stage 3,True,37,47375.84,656,88
****2213,2007,GA,202509,90+,Stage 3,False,214,45730.69,661,85
****0468,2008,AL,202509,90+,Stage 3,True,209,44664.28,680,67
****6816,2015,IL,202509,90+,Stage 3,False,119,44611.76,796,66
****9710,2008,TX,202509,90+,Stage 3,False,202,43470.43,770,60
****4808,2007,IL,202509,90+,Stage 3,False,219,38225.98,633,63
****1476,2007,AZ,202509,90+,Stage 3,False,220,36404.0,635,27
****8354,2015,MA,202509,90+,Stage 3,False,122,22390.16,808,50
****5888,2007,NM,202509,90+,Stage 3,False,216,20147.89,721,95
****4029,2008,TX,202509,90+,Stage 3,False,209,9416.94,754,80
****3958,2007,LA,202509,90+,Stage 3,False,220,8714.84,673,76
****4648,2007,NC,202509,60,Stage 2,False,108,464588.99,721,95
****8807,2015,CA,202509,60,Stage 2,False,90,430006.71,704,79
****2120,2008,PA,202509,60,Stage 2,True,159,364009.67,694,80
****1797,2015,CA,202509,60,Stage 2,False,23,347914.96,665,70
****1315,2015,TX,202509,60,Stage 2,False,122,330983.58,793,80
****7460,2015,NV,202509,60,Stage 2,False,119,315302.78,714,90
****2486,2015,CA,202509,60,Stage 2,True,126,311891.32,796,32
****0211,2015,MD,202509,60,Stage 2,True,121,287351.66,720,95
****2272,2015,FL,202509,60,Stage 2,True,43,285600.51,664,62
****1569,2007,NJ,202509,60,Stage 2,False,9,278547.41,594,94
****1018,2015,MD,202509,60,Stage 2,False,120,271992.77,664,72
****4583,2015,IL,202509,60,Stage 2,False,116,263731.89,787,63
****1897,2015,IL,202509,60,Stage 2,False,55,246981.81,634,85
****1741,2007,MN,202509,60,Stage 2,True,107,242036.22,631,90
****4799,2015,TX,202509,60,Stage 2,False,116,234529.2,791,88
****9130,2015,CA,202509,60,Stage 2,False,122,220679.53,767,95
****4070,2015,OK,202509,60,Stage 2,True,120,206302.72,771,94
****1591,2008,CA,202509,60,Stage 2,False,211,206112.03,744,80
****5111,2015,TX,202509,60,Stage 2,True,125,200404.41,753,80
****8492,2015,TX,202509,60,Stage 2,False,24,200386.52,666,95
****1950,2015,GU,202509,60,Stage 2,False,119,200370.26,707,90
****3824,2015,FL,202509,60,Stage 2,True,87,195792.82,681,80
****8224,2015,NY,202509,60,Stage 2,True,118,183998.12,781,80
****9081,2015,PA,202509,60,Stage 2,False,125,171046.68,687,69
****8673,2008,PA,202509,60,Stage 2,True,209,160677.85,711,90
****1503,2015,CO,202509,60,Stage 2,True,118,159184.56,692,80
****4929,2015,PA,202509,60,Stage 2,True,34,151917.31,682,90
****3277,2015,CO,202509,60,Stage 2,True,22,150742.51,663,72
****2858,2015,GA,202509,60,Stage 2,True,125,148880.68,778,95
****6353,2008,WA,202509,60,Stage 2,False,210,134560.79,766,80
****6134,2007,IL,202509,60,Stage 2,True,212,133303.74,638,72
****7011,2015,NC,202509,60,Stage 2,True,118,130971.22,646,78
****1965,2015,MD,202509,60,Stage 2,True,12,125759.81,666,80
****2421,2015,FL,202509,60,Stage 2,True,45,124223.52,624,63
****0838,2015,FL,202509,60,Stage 2,False,4,118412.54,778,95
****1623,2015,TX,202509,60,Stage 2,False,29,111731.89,669,80
****5941,2007,IN,202509,60,Stage 2,False,212,106825.38,630,84
****8046,2015,SC,202509,60,Stage 2,True,118,106167.99,698,70
****1794,2008,ME,202509,60,Stage 2,True,187,100757.17,755,79
****7055,2008,AK,202509,60,Stage 2,True,207,97482.9,773,80
****0951,2015,MN,202509,60,Stage 2,False,125,85424.71,717,90
****4272,2015,PA,202509,60,Stage 2,False,118,85018.24,765,95
****7503,2008,FL,202509,60,Stage 2,False,209,84670.06,695,56
****3548,2007,OH,202509,60,Stage 2,True,215,78691.64,710,90
****7816,2008,TX,202509,60,Stage 2,True,208,78282.42,745,97
****1005,2015,OH,202509,60,Stage 2,False,117,76991.48,623,58
****4352,2015,FL,202509,60,Stage 2,True,121,69272.62,817,85
****3325,2015,IL,202509,60,Stage 2,False,122,66102.6,702,97
****1392,2007,OH,202509,60,Stage 2,True,27,61630.01,713,80
