prop_state,loans,exposure_upb,pct_90plus,exposure_share_pct
CA,1727,299596530.63,0.46,17.26
NY,820,127007485.98,0.85,7.32
FL,955,109500611.66,0.94,6.31
TX,1017,103262153.89,0.69,5.95
IL,697,74395056.66,1.15,4.29
VA,451,61758939.14,0.22,3.56
NJ,428,61350246.74,0.47,3.53
PA,587,58816193.67,0.68,3.39
MA,336,51579795.79,0.6,2.97
GA,470,49037303.57,0.64,2.83
WA,355,48834687.03,0.28,2.81
NC,453,45303881.38,0.44,2.61
MD,309,44488536.7,1.62,2.56
MI,524,44077870.55,0.57,2.54
OH,550,43239636.35,0.55,2.49
MN,343,38188332.49,1.17,2.2
CO,275,37529179.46,1.09,2.16
OR,236,30600391.15,0.85,1.76
AZ,286,29068984.68,0.35,1.67
CT,204,28217460.6,0.98,1.63
IN,332,26110826.67,0.3,1.5
TN,264,25595155.26,0.38,1.47
WI,262,23356820.85,0.38,1.35
MO,279,23228132.93,0.36,1.34
SC,235,22723311.87,0.85,1.31
LA,157,17892268.37,3.18,1.03
UT,131,16746306.1,0.76,0.96
AL,142,15138456.99,1.41,0.87
HI,62,13515653.5,0.0,0.78
OK,132,12819193.88,0.0,0.74
KY,157,12221977.34,0.64,0.7
NV,101,12197456.34,0.99,0.7
KS,130,11382699.41,0.0,0.66
AR,116,11148988.78,1.72,0.64
IA,120,9797158.25,0.0,0.56
NH,69,8490835.65,0.0,0.49
NM,77,8059731.5,3.9,0.46
DC,35,7854130.03,0.0,0.45
RI,58,7426972.07,0.0,0.43
MT,54,6719847.14,0.0,0.39
ID,63,6238538.74,0.0,0.36
ME,58,6061790.19,0.0,0.35
DE,56,5915923.85,0.0,0.34
MS,64,5584653.75,1.56,0.32
ND,42,5204653.93,0.0,0.3
PR,71,5165258.65,0.0,0.3
NE,54,4891487.7,0.0,0.28
VT,43,4789525.31,0.0,0.28
WV,51,4254169.53,0.0,0.25
AK,28,3293754.13,0.0,0.19
WY,24,2969627.47,0.0,0.17
SD,15,1371002.38,6.67,0.08
GU,10,1317535.22,10.0,0.08
VI,2,282867.48,0.0,0.02
