metric,this_period,limit (red),utilisation_vs_limit_pct,headroom_to_limit,RAG
NPL ratio (Stage 3 / 90+ share of EAD),0.86,4.0,21.5,3.14,GREEN
Stage 2 share of EAD (SICR watch book),1.9,8.0,23.8,6.1,GREEN
Expected-loss rate (bps of EAD),39.3,75.0,52.4,35.7,GREEN
"NPL provision coverage (ECL / Stage 3 exposure, %)",45.75,25.0,54.6,20.75,GREEN
High-LVR book share (original LVR > 90% of EAD),13.0,25.0,52.0,12.0,GREEN
Current/indexed high-LVR share (current LVR > 90% of EAD),0.0,18.0,0.0,18.0,GREEN
Geographic concentration (top-state exposure share),17.27,30.0,57.6,12.73,GREEN
"Geographic concentration (state HHI, 0-10,000)",568.35,2500.0,22.7,1931.65,GREEN
30->60 roll rate (trailing 12m),15.73,30.0,52.4,14.27,GREEN
"New-delinquency roll (Current->30, trailing 12m)",0.69,2.0,34.3,1.31,GREEN
